"address/city","address/country","address/postalCode","address/region","address/street","areaServed","email","firmId","geo/latitude","geo/longitude","name","phone","practiceAreas/0","practiceAreas/1","practiceAreas/2","practiceAreas/3","practiceAreas/4","practiceAreas/5","practiceAreas/6","practiceAreas/7","practiceAreas/8","practiceAreas/9","practiceAreas/10","practiceAreas/11","practiceAreas/12","practiceAreas/13","practiceAreas/14","practiceAreas/15","practiceAreas/16","practiceAreas/17","practiceAreas/18","practiceAreas/19","practiceAreas/20","practiceAreas/21","practiceAreas/22","practiceAreas/23","practiceAreas/24","practiceAreas/25","practiceAreas/26","practiceAreas/27","practiceAreas/28","practiceAreas/29","practiceAreas/30","practiceAreas/31","practiceAreas/32","practiceAreas/33","practiceAreas/34","practiceAreas/35","practiceAreas/36","practiceAreas/37","practiceAreas/38","practiceAreas/39","practiceAreas/40","practiceAreas/41","practiceAreas/42","practiceAreas/43","practiceAreas/44","practiceAreas/45","practiceAreas/46","practiceAreas/47","practiceAreas/48","practiceAreas/49","practiceAreas/50","practiceAreas/51","rating","website","type"
"Oakland","US","94612","CA","1901 Harrison Street Suite 1100","California",,"NTIwODA1MV8x","37.8068161","-122.2656174","The Accident Guys","+1-888-616-4560","Car Accidents/Motor Vehicle Accidents","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://calltheaccidentguys.com/oakland?utm_source=findlaw","firm"
"Oakland","US","94610","CA","427 Grand Ave","California",,"MjUxMDMzMF8x","37.8084831","-122.2531815","Law Offices of Robert G. Schock","+1-510-922-0887","Personal Injury","Wrongful Death","Catastrophic Injuries","Sexual Abuse","Medical Malpractice","Motor Vehicle Accidents","Trucking Accidents","Premises Liability","Product Liability","Nursing Home Abuse","Dog Bites","Accidents & Injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5","https://www.robertgschock.com","firm"
"Oakland","US","94612","CA","1999 Harrison St Suite 1890","California",,"NTM3MDAyOV8x","37.8077164","-122.2650452","Heidari Law Group","+1-877-322-1552","Personal Injury - General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.heidarilawgroup.com/","firm"
"Oakland","US","94612","CA","505 14th Street Suite 900-9051","California","jsanchez@jnylaw.com","NTM3NzE0NF8x","37.731266","-122.1611252","J&Y Law","+1-844-204-5169","Personal Injury","Motor Vehicle Accidents","Ride Share","Elder Abuse","Wrongful Death","Pedestrian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://jnylaw.com/","firm"
"Oakland","US","94612-3603","CA","1 Kaiser Plz. Ste. 330","California",,"MTEzMjE2Nl8x","37.8099758","-122.2641173","David I. Fischer","+1-510-834-0800","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.davidifischerlawfirm.com","firm"
"Oakland","US","94602","CA","1437 Leimert Boulevard Suite B","California",,"MjU1MTI3M18x","37.811534","-122.2125295","Sack Rosendin Inc.","+1-510-270-5559","Personal Injury","Business Litigation","Real Estate Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.sackrosendin.com","firm"
"San Francisco","US","94105","CA","19 Tehama Street Suite A","California",,"MTYxMjM2MV8x","37.7875481","-122.3959351","Abramson Smith Waldsmith LLP","+1-415-685-0566","Medical Malpractice","Catastrophic Injuries","Brain Injury","Personal Injury Defective Products","Elder Abuse","Motor Vehicle Accidents","Cycling Accidents","Premises Liability","Defective Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.aswllp.com","firm"
"San Leandro","US","94577","CA","433 Callan Avenue Suite 302","California",,"NTE2MzA2Nl8x","37.7268747","-122.1518527","Katzakian Law P.C.","+1-888-724-4138","Workers' Compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.attorneybo.com/","firm"
"San Francisco","US","94104","CA","One Sansome Street Suite 3500","California","pc@westcoasttriallawyers.com","NTM4ODAyNF8x","37.7903214","-122.4007568","West Coast Trial Lawyers","+1-844-715-3604","Personal Injury","Motor Vehicle Accident","Car Accident","Trucking Accident","Motorcycle Accident","Slip & Fall","Premises Liability","Dog Bite","Employment Law","Employment & Labor","Sexual Harassment","Discrimination","Wage & Hour","Wrongful Termination","Class Action","Disability Discrimination","Pregnancy Discrimination","Gender Discrimination","Religious Discrimination","Age Discrimination","Racial Discrimination","Wrongful Death","Brain Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://westcoast.lawfirms.com/motor-vehicle-accidents-ca/,https://westcoastemployment.lawfirms.com/employment-law/","firm"
"San Jose","US","95126","CA","1550 The Alameda Suite 100","California",,"MTM2OTE2NV8x","37.3352585","-121.9154205","Jachimowicz Law Group","+1-408-550-1732","Criminal Law","Employment Law","Civil Litigation","Animal Bites","Brain Injury","Burn Injuries","Motor Vehicle Accidents","Premises Liability","Sexual Abuse","Wrongful Death","Motorcycle Injuries","Trucking Accidents","Catastrophic Injury","Drug Crimes","Insurance Law","Business Litigation","Soft Tissue Injuries","Spinal Cord Injuries","Traumatic Brain Injuries","Workers' Compensation","Elder Abuse","Construction Accidents","Construction Defects","Forklift Accidents","Cherry Picker Bucket Truck","Third Party Injuries","White Collar Crimes","RICO Cases","Tax","Theft/Embezzlement","Assault And Battery","Homicide, Murder And Manslaughter","Hit-And-Run Accidents","Sexual Harassment","Reckless Driving/Speed Contests","Sex Crimes","Child Molestation","Child Pornography","Online Sex Crimes","Prostitution","Product Liability","Disability","Discrimination","Employer Representation","Employment Discrimination","ERISA","Whistleblower","Wrongful Termination","Gender Discrimination","Life, Health, And Disability Insurance","Bad Faith","Fraud",,"https://www.jachlawgroup.com","firm"
"San Francisco","US","94105","CA","149 New Montgomery St Suite 431","California",,"NTM4NDg5OV8x","37.786972","-122.3995972","DK Law – Injury, Accident, and More","+1-877-693-0907","Car Accidents 100%","Truck Accidents","Motorcycle Accidents","Bike Accidents","Personal Injury","Pedestrian Accidents","Wrongful Death","Rideshare Accidents","Dog Bite","Slip & Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://dklaw.com/?utm_source=directory&utm_medium=organic&utm_content=listing&utm_campaign=findlaw","firm"
"San Francisco","US","94104","CA","One Sansome Street Suite 1400","California",,"MzczMzY5OV8x","37.7904472","-122.4011536","Law Office of Daniel H. Rose","+1-415-946-8900","Personal Injury -- Plaintiffs","Wrongful Death - Plaintiffs","Bike Accidents - Plaintiffs","Car Accidents - Plaintiffs","Drunk Driving Injuries - Plaintiffs","Pedestrian Accidents - Plaintiffs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.mediatorsfbay.com/,http://www.danroselaw.com","firm"
"San Francisco","US","94104","CA","44 Montgomery","California",,"NDg2NzcyNF8x","37.7897312","-122.401906","Glickman & Glickman","+1-310-746-5116","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.glickman-law.com","firm"
"San Francisco","US","94102","CA","870 Market St Suite 611","California","maria@flexmediaagency.com","NTM5MTA0Ml8x","37.7848816","-122.40728","Sweet James Accident Attorneys","+1-877-414-2316","Car Accident","Trucking Accidents","Personal Injury","Motorcycle Accidents","Wrongful Death","Slip and Fall","Spinal Cord","Brain Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://sweetjames.com/","firm"
"Oakland","US","94607","CA","555 12th Street Suite 1470","California","maggie.karnath@thebarnesfirm.com","NDk4MTk1OF8x","37.8036861","-122.2752692","The Barnes Firm","+1-877-544-2066","Personal Injury","Aviation and Aerospace","Health Care","Personal Injury - Medical Malpractice: Plaintiff","Personal Injury - Products: Plaintiff","Transportation/Maritime","Animal Bites","Aviation Accidents - Plaintiff","Birth Injury","Construction Accident","Delayed or Incorrect Diagnosis","Dental Malpractice","Informed Consent Medical Devices","Medical Malpractice","Motor Vehicle Accidents","Motor Vehicle Defects","Nursing Home","Pharmaceutical","Premises Liability - Plaintiff","Railroad Accident","Sexual Abuse - Plaintiff","Toxic Mold","Trucking Accidents","Wrongful Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.thebarnesfirm.com/","firm"
"San Francisco","US","94104","CA","354 Pine Street Floor 3","California",,"MTk0MTg4OV8x","37.7921412","-122.4019329","The Brandi Law Firm","+1-888-309-1224","Personal Injury","Bicycle Accidents","Collisions And Defective Cars","Wrongful Death","Elder Abuse","Product Defects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.brandilaw.com","firm"
"San Francisco","US","94104","CA","235 Montgomery Street Suite 415","California","dhs@lodhs.com","MTY2NjEzOV8x","37.7914352","-122.4026489","David H Schwartz","+1-415-766-9049","Litigation & Appeals","Securities Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.lodhs.com/","firm"
"San Francisco","US","94104","CA","315 Montgomery Street 9th Floor","California","teresa@lawofficesofteresali.com","NTE1ODQ1NV8x","37.7921154","-122.4030045","Law Offices of Teresa Li, PC","+1-415-651-2995","Auto Accident","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.lawofficesofteresali.com/","firm"
"San Francisco","US","94102","CA","870 Market Street Suite 945","California","jon@piperoffices.com","NTM5MDA4NF8x","37.7850838","-122.4076233","Law Offices of Jonathan L. Piper","+1-628-626-7687","Estate Planning","Trusts","Wills","Personal Injury","Civil Litigation","Business Law","Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.piperoffices.com/","firm"
"San Francisco","US","94111","CA","601 Montgomery Street Suite 688","California","fabbrolaw2001@yahoo.com","MzIzNDk5M18x","37.794838","-122.4035756","Law Offices of Steven A. Fabbro","+1-415-906-3756","Personal Injury","Car Accidents","Trucking Accidents","Bicycle Accidents","Pedestrian Accidents","Products Liability","Slip and Fall Accidents","Catastrophic Injury","Traumatic Brain Injury","Wrongful Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.fabbrolaw.com/","firm"
"Oakland","US","94612","CA","1999 Harrison Street Suite 1600","California",,"MjI5NjQ0NF8x","37.8077715","-122.2651434","Gwilliam Ivary Chiosso Cavalli & Brewer","+1-510-823-5411","Employment Law","Personal Injury","Wrongful Death","Civil Rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://giccb.com/attorneys/rya-m-nelson/,https://www.giccb.com/,https://giccb.com/winston-w-moody/,https://giccb.com/j-gary-gwilliam/,https://giccb.com/randall-e-strauss/,https://giccb.com/jayme-l-walker/,https://giccb.com/robert-j-schwartz/","firm"
"San Francisco","US","94111","CA","388 Market St. Suite 1300","California",,"NTM3NDg1NV8x","37.7853432","-122.3956223","Sweet Lawyers","+1-844-322-5583","Personal Injury","Bicycle Accidents","Brain Injuries","Burn Injuries","Bus Accidents","Car Accidents","Dog Bites","Food Delivery Accident","Motorcycle Accidents","Pedestrian Accidents","Premises Liability","Rideshare Accident","Scooter Accident","Spinal Cord Injury","Truck Accidents","Wrongful Death","Disability Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.sweetlaw.com/","firm"
"San Francisco","US","94111","CA","601 Montgomery Street Suite 1208","California","demian@mlolawyers.com","MjA5MDU4MF8x","37.7948363","-122.4035212","Mannion, Lowe, & Oksenendler","+1-415-685-0580","Bad Faith Insurance","Insurance Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"firm"
"San Francisco","US","94102","CA","1438 Market St","California","bennettmcohen@gmail.com","NDgyMTYyOV8x","37.7761497","-122.4184494","The Law Offices of Bennett M. Cohen, P.C.","+1-415-230-1800","Bad Faith Insurance","Personal Injury","Disability Insurance Claims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.bennettmcohen.com/","firm"
"San Francisco","US","94133","CA","536 Pacific Avenue","California","rscarlett@randallscarlett.com","MzM0OTk0Ml8x","37.797474","-122.404347","Scarlett Law Group Injury and Accident Attorneys","+1-415-352-6264","Personal Injury Firm","Brain injury","MVA","Trucking accidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.scarlettlawgroup.com","firm"
"San Francisco","US","94103","CA","95 Third Street 2nd Floor","California","asbestos-inquiries@levylaw.com","NTMwNzU5MV8x","37.7866019","-122.4021831","Levy Konigsberg","+1-646-759-1030","Product Liability and Mesothelioma & Asbestos","Lead Poisoning","Whistleblower","Pharmaceutical Drug/Medical Device","Mass Tort","Personal Injury","Medical Malpractice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.levylaw.com","firm"
"San Francisco","US","94102","CA","711 Van Ness Ave. Suite 500","California","leads@forthepeople.com","NTI3Njc0OF8x","37.7821043","-122.4215079","Morgan & Morgan","+1-833-646-1198","Personal Injury","Car Accidents","Labor & Employment","Workers' Compensation","Medical Malpractice","Mesothelioma","Birth Injury","Spinal Cord Injury","Brain Injury","Truck Accidents","Construction Accidents","Debt Collection Harassment","Premises Liability","Dog Bites","Motorcycle Accidents","Veterans' Benefits","Overtime and Wage & Hour","Insurance Claims","Wrongful Death","Social Security Disability (SSD)","Aviation Accidents","Nursing Home & Elder Abuse","Burn Injuries","Personal Injury Protection","Boating Accidents","Maritime & Admiralty","Product Liability","Slip & Fall","Whistleblower",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.forthepeople.com/office-locations/california/san-francisco/?utm_source=FindLaw&utm_medium=LegalDirectory&utm_campaign=SanFrancisco","firm"
"Hayward","US","94541","CA","1260 B Street Suite 140","California",,"NDQxNjIyNl8x","37.6761715","-122.0785522","Law Offices of Patricia Turnage, P.C.","+1-510-470-5044","Personal Injury","Landlord Tenant","Real Estate","Motor Vehicle Accidents","Slip and Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"firm"
"San Francisco","US","94109-5454","CA","1388 Sutter Street Suite 1000","California",,"MjYxMzc1MV8x","37.787645","-122.423065","Goldstein, Gellman, Melbostad, Harris & McSparran, LLP","+1-415-906-2620","Bad Faith Insurance","Insurance Law","Personal Injury","Real Estate","Condominium Creation","Motor Vehicle Accidents","Tenancies in Common","TIC & Condominium Disputes","Employment Discrimination","Landlord/Tenant","Estate Planning","Business Law & Litigation","Probate & Trusts","LGBT Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sfbadfaithlawyer.com","firm"
"Lafayette","US","94549","CA","3650 Mt. Diablo Blvd. Suite 107","California",,"NTM4NzE3N18x","37.8913307","-122.1272125","McCune Law Group","+1-925-378-5582","Personal Injury","Products Liability","Motor Vehicle Accidents","Consumer Class Actions","Mass Torts","Drugs and Medical Devices","Catastrophic Injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.mccunelawgroup.com/","firm"
"San Francisco","US","94111","CA","75 Broadway 2nd Floor","California",,"NTMwMjM2MV8x","37.7986603","-122.3992157","Adamson Ahdoot LLP","+1-855-913-5252","Personal Injury","Dog Bites","Product Liability","Motorcycle Accidents","Bicycle Accidents","Nursing Home Abuse / Nursing Home Negligence","Sexual Assault","Slip & Fall","Premise Liability","Wrongful Death","Catastrophic Injuries","Brain Injury","Spinal Injury","Car Accident","Motor Vehicle Accident","Rideshare Accident","Scooter Accident","Bicycle Accident","Trucking Accident","Wildfire Litigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://adamsonahdoot.lawfirms.com/personal-injury","firm"
"Burlingame","US","94010","CA","San Francisco Airport Office Center 840 Malcolm Road Suite 200","California",,"MTkzMTk2Ml8x","37.6003838","-122.3719656","Cotchett, Pitre & McCarthy, LLP","+1-866-553-9736","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.cpmlegal.com/","firm"
"San Mateo","US","94402-1447","CA","700 South Claremont Street Suite 101","California",,"MTkwMzE0MV8x","37.5640096","-122.3185907","The Law Offices of Vincent J. Scotto, III","+1-650-375-2301","Workers' Compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.scottolaw.com,https://www.scottolaw.com/","firm"
"San Francisco","US","94109","CA","1388 Sutter Street #1210","California",,"NDkwNjc5Nl8x","37.7875693","-122.4231006","Law Offices of Moss & Hough","+1-415-653-7009","Labor and Employment","Wage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.mhlegal.net","firm"
"Redwood City","US","94065","CA","333 Twin Dolphin Drive Suite 145","California",,"NDUyMzU4OV8x","37.5221443","-122.2574081","Danko Meredith, Trial Lawyers","+1-650-427-0924","Wrongful Death","Catastrophic Injury","Aviation Litigation (emphasis on high-stakes plane crash lawsuits)","Explosion and Fire-Related Burn Injuries","Traumatic Brain Injury","Aircraft and Helicopter Crashes","Utility & Wildfire Litigation","Mass Transit Accidents","Pedestrian","Motorcycle and Bicycle Accidents & Injuries","Damages Due to Corporate Negligence","Rideshare Accident","Uber/Lyft Driver Assault","Commercial Truck Accidents","Product Defects","Severe Motor Vehicle Accidents","Spinal Cord Injury","Bad Faith Insurance","Personal Injury","Business Torts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.dankolaw.com/","firm"
"Walnut Creek","US","94596","CA","2121 North California Boulevard Suite 875","California",,"MjA1MDY4MF8x","37.9085922","-122.0664749","Bowles & Verna LLP","+1-925-478-5763","Employment Law","Personal Injury","MVA","Business Litigation","Will and Trusts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.bowlesverna.com","firm"
"Walnut Creek","US","94597","CA","2540 Camino Diablo Suite 201","California",,"NDc1MTA4Ml8x","37.8972359","-122.0748596","Law Office of Michael E. Gatto PC","+1-925-587-9949","Motor Vehicle Accident","Personal Injury","Medical Malpractice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.gattopc.com","firm"
"San Francisco","US","94104","CA","235 Montgomery Street Suite 1019","California",,"NDgyODQzOV8x","37.7912822","-122.4028914","The Law Offices of Daniel Feder","+1-877-557-5609","Employment Law","Discrimination","Sexual Harassment","Retaliation and Whistleblower","Wage & Hour Violations","Personal Injury","Motor Vehicle Accident","Catastrophic Injuries","Medical Malpractice","Wrongful Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.dfederlaw.com/,https://www.dfederlaw.com","firm"
"Richmond","US","94806","CA","3150 Hilltop Mall Road","California",,"NDg1OTcxM18x","37.9803816","-122.3238442","Wells Call Injury Lawyers","+1-707-416-2780","Personal Injury","Car Accident","Motor vehicle accidents","Wrongful Death","Dog Bites","Slip and Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.wccbc.com/","firm"
"Mill Valley","US","94941","CA","591 Redwood Highway Suite 400","California","info@zinn-law.com","Mzg1ODQ5MF8x","37.8888916","-122.5182929","The Zinn Law Firm","+1-415-766-0496","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.zinn-law.com","firm"
"San Francisco","US","94102","CA","211 Gough Street Third Floor","California",,"MTYzNjk4MV8x","37.7753302","-122.4229002","Tour-Sarkissian Law Offices, LLP","+1-415-626-7744","Real Estate","Business","Probate","Estate Planning","Business & Commercial Law","Business Organizations","Divorce","Trusts","Family Law","Restaurant Law","Immigration","Civil and Business Litigation","Private International Law","Accidents and Personal Injuries","Real Estate Law","Business Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.tslo.com","firm"
"Pleasant Hill","US","94523","CA","2255 Contra Costa Blvd. Suite 202A","California",,"NDk4NDAxOV8x","37.9458188","-122.0607511","Tuttle & McCloskey, PC","+1-559-500-3393","Education Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.tuttleandmccloskey.com","firm"
"Mill Valley","US","94941","CA","110 E. Blithedale Avenue Suite B","California",,"NDk1NTI2Ml8x","37.9053154","-122.5445786","Collier Law Firm","+1-628-600-7204","Employment Law","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.collierlawsf.com","firm"
"Pleasanton","US","94588","CA","4900 Hopyard Road West Lobby - Suite 100","California",,"NTI0MjMzNF8x","37.6935043","-121.904747","John Park Law","+1-702-936-6948","Estate Planning","Probate & Estate Administration","Wills","Trusts","Elder Law","Guardianship","Business Law","Business and Commercial Law","Personal Injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.johnparklawfirm.com/","firm"
"Concord","US","94520","CA","Old Bank Building 2001 Salvio Street, Suite 25","California",,"MTM3MzAzOV8x","37.9771789","-122.0357213","Goforth & Lucas Law Partnership","+1-925-265-8964","Workers’ Compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.goforthlucas.com","firm"
"Redwood City","US","94063-1824","CA","702 Marshall Street Suite 300","California",,"MzI2MTg2OV8x","37.4874802","-122.2279943","Michael E. Adams Law Offices","+1-650-599-9463","Administrative Law","Civil Rights","Discrimination","Employment Law -- Employee","Government Agencies & Programs","Labor Law","Litigation & Appeals","Medical Malpractice","Motor Vehicle Accidents -- Plaintiff","Native Peoples Law","Nursing Home","Personal Injury -- Plaintiff","Sexual Harassment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.michaeleadams.com/","firm"
